"alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp.w.offset","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp.w.offset","b_rplc.r.sll_income","b_rdc.nd.cmpnst_income","b_shrt.flghts_income","b_mdm.flghts_income","b_lng.flghts_income","b_dt_income","b_inslt.rf_income","b_inslt.fcd_income","b_rplc.wndws_income","b_vntltn_income","b_ht.pmp_income","b_slr.pnls_income","b_rdc.tmp_income","b_crtfct_income","b_co2.offset_income","b_undercomp.w.offset_income","logLike"
-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54576.4569156942
-0.845170876523169,1.22736298806043,0.972020159381872,1.13341190098407,1.29563600368209,1.26227689528742,0.886968358441916,1.14156650401587,1.15355358288221,1.10778972689987,1.12301628999908,1.15468655366379,1.05581475127673,1.07865945572657,1.33134165496813,1.36777954568959,1.2701049237531,-0.0288786255252742,-0.0219159159892183,-0.0213623449708433,-0.034659089133542,-0.0260782052064061,-0.0935547035370489,-0.0315333434999725,-0.0753887724042829,-0.0459452367819875,-0.156348150470912,0.0455258831105697,0.0352857893595012,0.0260584430841894,-0.0503724154638805,-0.118763935986895,-0.036279098090089,-0.00173765644147182,-0.00226428320809505,-0.00181949384512829,-0.00284260828657163,-0.00218643516043248,-0.00735897204677967,-0.00264282615403574,-0.00676410548891651,-0.00393334178488221,-0.0114164151766123,0.00351655872599611,0.00230734878927503,0.00222054393191669,-0.00367909140264993,-0.010136647482959,-0.00422716641057587,-53143.6274475032
-0.476377937256325,1.20430485867624,0.866143670190782,0.936981415746243,1.39168664160535,1.40563986984571,0.741393540979206,1.10079463751726,1.11541280890361,1.00218642810471,1.05229243464171,1.17480815865974,0.926179751214928,0.962852080067127,1.54495563667415,1.93705707234251,1.52274829133513,-0.433656377450137,-0.41927295031401,-0.390966796818638,-0.457880714089022,-0.466263030940737,-0.526034770162635,-0.44469326245007,-0.494590631100663,-0.451869076428497,-0.7139574735085,-0.348900428577675,-0.308647727848491,-0.342782898213216,-0.493575199641817,-0.8093517458253,-0.60033289755629,-0.0128416614211953,-0.0116548699454411,-0.0126855902638277,-0.0139344751823506,-0.0144403965834818,-0.0147591034910105,-0.0120616493492032,-0.0185712290508383,-0.0137630801816939,-0.0114058797780453,-0.0119129346964577,-0.0112304293560669,-0.00993189073279299,-0.0160796811875511,-0.0183338369388284,-0.0153683389775779,-50531.9295706175
0.293737225459147,1.4113821233944,0.293146333424905,0.333075358298025,1.87464482856441,2.16652554356,0.230021960853612,1.14503146825128,1.28006375166034,1.0184145584568,1.15805024712178,1.04587798292937,0.653879130426278,0.604468094301162,1.97598397690407,1.33585269796904,1.70894619485024,-0.770510905580793,-0.684738123627126,-0.640867171843449,-0.766977716503708,-0.806040140884771,-0.968495973634676,-0.732613148253724,-0.867882542690978,-0.766315911314367,-1.37819028368037,-0.466174082623613,-0.415948199666497,-0.476803011201056,-0.855947087176998,-1.25449141219251,-0.875725888310019,-0.0363177452037845,-0.0371543526522215,-0.0326303230257914,-0.0379788477303955,-0.0417049579455044,-0.0430230443260888,-0.0348086667824083,-0.0490720843867469,-0.0376878297659338,-0.0493710907030262,-0.0269078512784185,-0.0273893512401646,-0.0246282356452646,-0.0401018230317782,-0.0488447819024515,-0.0457626302632343,-47693.1277700144
0.423555661362168,1.79477356788909,0.17896446789842,0.60946954124673,2.40210785304173,5.03585090036798,0.476708215741076,1.56732813630125,1.9874704253236,1.20161875032774,0.995614910688488,2.29168440887478,0.575725472831431,0.54289749477596,2.95346389671483,3.42065140179861,3.19330138461121,-1.19250350281523,-1.08811997852168,-1.08815484470228,-1.16904195649639,-1.27728872524558,-1.64295112769076,-1.13462470062232,-1.32760546891683,-1.19217760358832,-2.18469027920987,-0.799202471120868,-0.686142726246302,-0.795979835832772,-1.30963879710964,-2.06728783997898,-1.28574790656965,-0.066590686385136,-0.0694131896743152,-0.0678061035687104,-0.0708235635833572,-0.0780169237770932,-0.0806891632469154,-0.0633158989603812,-0.0909251706630115,-0.0726250886831117,-0.0873883019781803,-0.0585148552778297,-0.0556546999292183,-0.0532901671916484,-0.0724426331393975,-0.102023778422223,-0.0946208868876074,-46334.1870492861
0.182725823025769,2.50406457515227,0.333051397023077,0.145530780195218,3.59791720570478,6.91717157172871,0.194640714286196,2.24265712478498,3.38469255707745,1.61668242087064,1.33104076720957,6.33387092332351,0.668203908347298,0.519596513897313,3.85853468380651,3.76688577729148,4.93102045877046,-1.33699971140714,-1.2625742564509,-1.29429100973978,-1.36355296517049,-1.37215474963903,-1.93521358638079,-1.33670915632431,-1.55035711819666,-1.39858133273413,-2.68580647412061,-0.835719991229955,-0.772054017141131,-0.964379808399421,-1.51935257769851,-2.20709162254363,-1.24895375780643,-0.0725289729539526,-0.0829596195013787,-0.0816420445493832,-0.0836371299229168,-0.0823686914187919,-0.0934184733447782,-0.0807928942319994,-0.114936260237094,-0.088978602712544,-0.111998553296744,-0.0592072333264427,-0.0624338165789401,-0.0663496178452985,-0.0817020976322694,-0.0991278273635872,-0.0976891231527477,-45729.2081159514
-0.0548369599148244,2.58559801393928,0.464256123677837,0.429240177879267,3.49335102084522,10.2765933392607,0.574127306781361,2.77980612773804,4.41958525922174,2.00697093960978,1.44352254512071,8.87206648465962,0.888683174771537,0.737910560402598,6.23498473545696,6.34084259829768,7.09890996248713,-1.50716609948291,-1.38633774871692,-1.54325646410894,-1.52367272795532,-1.52978316367642,-2.20636800911755,-1.52603121577405,-1.67609080650111,-1.56271927582533,-2.92409200223324,-0.88770685128146,-0.895366097554719,-1.11824857162282,-1.75964851348662,-2.47059480506682,-1.33871922743693,-0.0790729923919193,-0.0900296501232963,-0.0979101559513706,-0.0929333900069056,-0.0898023186477123,-0.104655912168174,-0.0949873510171891,-0.128061820718545,-0.0980390067021245,-0.11557053225804,-0.0616170356029549,-0.0713506337361237,-0.0771542385761617,-0.0937375334982432,-0.107695983779869,-0.112630441530489,-45062.5466612783
-0.167575530014385,3.20931720901289,0.446685854743644,0.920981173327438,5.01698724389256,7.17610178818137,0.519220372881542,3.69435539546986,6.82498055236263,2.73543187764017,2.12562253669698,20.9704709025027,1.10802250176417,0.892949217236059,5.31774244768774,0.934358535488397,10.1630625222819,-1.62334742836381,-1.46576530500325,-1.41555982826473,-1.63524235610307,-1.6404315486563,-2.16684625117869,-1.64250460104567,-1.76830398501828,-1.66169728035798,-3.08048781172744,-0.948992058868367,-0.951296487403388,-1.18994396911379,-1.90293896197139,-2.57989876297149,-1.39073393956981,-0.0827429038915263,-0.0944407401053195,-0.0838294262185075,-0.0979404651362307,-0.0956483269089808,-0.0951982384416248,-0.105584409118274,-0.136958974045294,-0.102679869642441,-0.120489829715268,-0.0635997527955661,-0.0747254451149809,-0.08025182397239,-0.0983304879951506,-0.104748604152371,-0.118827737117963,-44868.1332541576
-0.489743795805684,3.5102350840727,0.629269966556688,0.876412760752952,4.23459815350848,18.9779024702708,0.667215365756564,4.46815667888472,7.30893023382741,3.10585466417288,2.26472940305616,22.7272408448387,1.46996544643823,1.05006565806039,9.23196088991108,3.30938233570377,11.2180414470754,-1.87078949392022,-1.67733321094219,-1.70478440023313,-1.85269476906353,-1.92682862414598,-2.40963847146159,-1.86375199691014,-1.99765455929568,-1.92204611109736,-3.39277314737182,-1.16272234697072,-1.17388682756763,-1.43830512915355,-2.16792029050954,-3.2741741928902,-1.57863708385208,-0.0907703451315879,-0.105756135242854,-0.0988385549888142,-0.108568389116118,-0.111137411837267,-0.101937475087889,-0.117887470473514,-0.157892930913805,-0.114995555247613,-0.12579693061656,-0.0763980185117175,-0.0892073481317721,-0.0950482851795832,-0.108300679492465,-0.138509027259866,-0.142960401024313,-44300.4972240929
-0.524005376410441,3.54582732687385,0.63004736983692,0.932857143192916,4.70190822154072,18.347678560532,0.674767334831334,4.70877541646656,7.91954773107897,3.32927476454657,2.419125890413,27.2070800563089,1.53925282832816,1.09612863228989,9.11472223128253,3.80750584477168,11.3982283226652,-1.89888179058178,-1.68954286863014,-1.69867330435805,-1.87132083211352,-1.94477201053359,-2.41675157687022,-1.89155085686863,-2.0122636899373,-1.94292456662641,-3.41017886719373,-1.18399600935786,-1.18833301373524,-1.4488680137709,-2.20105453535665,-3.1990886236384,-1.59901784806485,-0.0917319628166391,-0.106196261798144,-0.0973506603693284,-0.109130473171222,-0.111527155741679,-0.101166974998659,-0.120179291485251,-0.159116553877973,-0.115684225883659,-0.125489214232253,-0.0775132766999935,-0.0901107739526601,-0.0951969870411867,-0.109436381385316,-0.129449232281866,-0.145075824408858,-44238.5556098257
-1.78033151634155,6.20289537133578,1.13769454259771,1.36487242726725,9.57520159426895,23.8999864773427,1.2535422502102,7.04782502634615,12.0925091700752,4.55608966932134,3.25329165330015,47.6599195666892,2.28845908248645,1.78104410458593,17.1198816541768,9.36509431456687,19.6722953359013,-2.97469480183798,-2.77317662072604,-2.85076187499218,-2.92205913478436,-3.0077381809555,-3.63506420969847,-2.98731325937895,-3.10245444598053,-3.07661118250957,-4.61594816312722,-2.18935649430009,-2.23882652302667,-2.53639825826238,-3.24908796127129,-4.17020425642624,-2.40001458621962,-0.113229419058909,-0.132175276083106,-0.123262474464351,-0.133901176169053,-0.126030200570056,-0.117897614963008,-0.141790737752534,-0.179003535295055,-0.135096396570665,-0.143372104064703,-0.106666399118646,-0.118804190411801,-0.121292753458257,-0.128768244895576,-0.155453672700796,-0.186615654516971,-43297.3737183923
-4.01779191886698,9.11324032905047,1.7863254890129,2.44131911517534,11.1412056383204,44.0639484705038,1.95259615098191,9.51414387428868,14.8035052675326,6.53967384534556,4.29332716601925,78.8739155306605,3.54387078732406,2.79675609497661,23.3196577340096,18.486929664089,27.053740850649,-3.99485426929167,-3.61807053914693,-3.725065956394,-3.85450504953402,-4.00666957122266,-4.5630421173104,-3.92828610025115,-3.97260808623784,-3.98356456524471,-5.56821748697463,-3.2122456414831,-3.1099355998101,-3.39860650770809,-4.30845216406866,-5.09383746268676,-3.27466579317996,-0.09912600911,-0.137891957968642,-0.132534893571016,-0.133354420237823,-0.115227084272991,-0.116965583952138,-0.137958413800127,-0.181175664939839,-0.13648993315593,-0.144092526978193,-0.0938025524956273,-0.121767909760825,-0.128015242141834,-0.116126873575818,-0.135987122652493,-0.180625436464023,-43139.06125489
-5.52078979188259,8.19159475331125,1.61707921462509,2.10467775195424,12.7216167286057,30.0524231817144,1.74960788550962,8.87739622984601,14.9226848897587,5.85732715474973,4.58933507309433,89.6159981497219,3.54586378072074,2.65445792021553,17.8523966127121,20.2845986244057,16.0876947706865,-4.16334693349715,-3.57857634586315,-3.59629846909614,-3.83696326737517,-4.05704965397479,-4.50692951097519,-3.90558639973886,-3.89985491165726,-3.91037039090739,-5.52856974620023,-3.39343357518146,-3.11287984194676,-3.36302436816014,-4.45969071584758,-5.1948139697202,-3.41854496242546,-0.0615561933661135,-0.11998662387857,-0.126645000442324,-0.119483184215922,-0.0921897787830258,-0.100995432680841,-0.123516180861137,-0.180007889786366,-0.127987496005415,-0.134021815198113,-0.0545264390091662,-0.0981547615449387,-0.109467572252299,-0.0823980220738352,-0.081670698088142,-0.138501358822258,-42832.2600174954
-6.11569828584645,7.24761445585472,1.50661157933489,2.0795843137657,6.63550468456973,42.6717079675657,1.5922937364766,9.30853357621874,11.5820482193935,6.97963966402066,3.38701295451428,52.6571438591845,3.15983111577303,2.57950068393367,19.3312759477185,16.5591797068602,32.6512796361393,-4.4266848997345,-3.74900645476967,-3.69441509487394,-4.16376365704677,-4.24030611168955,-4.66259885421846,-4.02687296424279,-3.97700214570015,-4.10922884632063,-5.6900762140193,-3.6645654832813,-3.25096784556836,-3.50538908228165,-4.76614534147453,-6.02516627968585,-3.84111508511356,-0.0254335138285754,-0.086459281891482,-0.0933706892860418,-0.0809183141855571,-0.0713827479266987,-0.0681191959376925,-0.110122937019459,-0.163431897651936,-0.0990657577935208,-0.105033622707632,-0.0261744128354618,-0.0727767658202206,-0.0759597338407077,-0.0533516363236921,-0.0277262790234384,-0.114177037628137,-42669.328428176
-6.65740236848774,7.07447840349962,1.3461907707672,1.25799645349131,11.6763594563155,24.3257655207728,1.52033618065159,8.62177900646914,16.4952657818836,6.11911133424887,3.78659558057138,66.2215072956176,3.5656397887061,2.51932190914977,19.8658166580956,19.0043573446827,25.7536046622806,-4.71603350874565,-4.0301544321976,-3.97698305475889,-4.34819316061708,-4.43843693953755,-4.90323779658671,-4.12352133943049,-4.1035551462845,-4.38394078185872,-5.88078317947988,-3.83870038924197,-3.50938791174673,-3.79475092892447,-4.88873549679059,-6.1733719719338,-4.08673892013954,0.00985731687729608,-0.0454964574380247,-0.0442737203032664,-0.0515196662825024,-0.0405851377273408,-0.0230034027455924,-0.0890385146694783,-0.142190976674407,-0.0576749834257687,-0.0609780440737134,-0.00118481380309231,-0.0379736998836812,-0.034776331150954,-0.0226347144501347,0.0236458416872048,-0.0854572542229262,-42537.5493001439
-6.87680445563006,7.03086025075133,1.32932097256713,2.32961923602079,8.81984502652746,40.4400102072001,1.32266449674697,10.6316274623263,15.4373042769235,7.24976771106797,5.09805964390813,87.5158159332248,3.07343596217257,2.36181398253678,16.8786806699477,18.7237340908516,17.3581564171027,-5.06624921831222,-4.39508217012123,-4.46233826885981,-4.65484051484838,-4.78744629795436,-5.30341812932076,-4.44090445771123,-4.35090124277517,-4.76972907061789,-6.35672531424217,-4.08281127299873,-3.81475028856795,-4.1391480698528,-5.1543863034934,-6.4473986954826,-4.37149261660804,0.0394479022657278,-0.0123146269563633,-0.00485012682714966,-0.0145965767452543,-0.00959619853526417,0.0166138378281372,-0.0570666992526831,-0.109380552622228,-0.0191626585622479,-0.0129796031916145,0.0211856276778702,-0.00805027096869865,-0.00317828077479757,0.0068752530537654,0.0517476055110994,-0.0629018618759147,-42509.1621517267
-7.03297354141409,7.27910168037825,1.38425019231578,2.52202567831929,11.2138162693477,48.1286633181039,1.59014547073259,8.95492078017129,15.4273679784859,6.48427395991922,4.63933285716525,55.9519447768224,3.55547838569587,2.60457680327325,16.0234985004692,13.9825134812133,24.6673641806809,-5.17604342167595,-4.57823216898488,-4.62943944975318,-4.83645333023267,-5.00680767157888,-5.52072333879112,-4.64745162076184,-4.65174912444505,-4.93958137398393,-6.70983769986871,-4.2185501328344,-3.99121715343996,-4.26291645444984,-5.33053620395303,-6.4315107941375,-4.51610665894182,0.0628827421930631,0.0170728100598986,0.0310533665381569,0.0186654328788879,0.0291003328007032,0.0464159661962744,-0.0199456904707863,-0.0711769956273951,0.00698116836090911,0.0353650109420572,0.0458282493469685,0.0185232378635703,0.0214577205211281,0.0379211377793781,0.0635544396486469,-0.0314887615237007,-42506.1477521383
-6.82436367499323,7.29851728742965,1.39186691044129,2.08604846491128,7.94959919117114,16.4688093648479,1.58612738534998,9.37676511273599,15.2577624426176,6.5530109313646,4.59015308421099,67.0362185279165,3.57554810219447,2.5807035684816,18.5075976987722,16.2256060058968,22.6036821778354,-5.20979979663671,-4.57360069292593,-4.63347078014521,-4.87261137620878,-5.08254589529532,-5.51581845268066,-4.74202914869552,-4.71569878355734,-5.00395771052195,-6.6909938315882,-4.27426306074471,-4.02518270469979,-4.28383923662951,-5.41407999110097,-6.45158640859664,-4.47159941114537,0.05636632822723,0.00710796083108386,0.0171020809934914,0.0108880961827369,0.0203635256475551,0.0364988427166422,-0.0187545340154923,-0.0712246304929986,0.00702658780477042,0.0233625881559311,0.0414356688594079,0.0132089220940879,0.013734172594649,0.0317609937291662,0.0530554131256379,-0.0483638091361231,-42490.8354285573
