"","alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp.w.offset","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp.w.offset","b_rplc.r.sll_income","b_rdc.nd.cmpnst_income","b_shrt.flghts_income","b_mdm.flghts_income","b_lng.flghts_income","b_dt_income","b_inslt.rf_income","b_inslt.fcd_income","b_rplc.wndws_income","b_vntltn_income","b_ht.pmp_income","b_slr.pnls_income","b_rdc.tmp_income","b_crtfct_income","b_co2.offset_income","b_undercomp.w.offset_income","b_crtfct_price","b_undercomp.w.offset_initial"
"alpha_base",2.58725250162247e-11,-3.00984703866884e-10,-9.90203677145875e-13,-1.11755521793643e-09,-2.12335594632132e-10,-6.62357620056715e-11,-1.44263742120107e-09,-2.15512922241726e-10,-6.32819557194297e-11,-1.61462450780206e-10,-2.22857745130349e-10,-3.51102005027307e-11,-3.17511656392475e-10,-4.33707804452358e-10,4.88721930164438e-12,-1.22075066728615e-10,-9.00534205613199e-11,1.76748525731773e-11,-4.5466579438995e-10,-2.15196603036945e-10,2.71084667171898e-13,-2.16019555585755e-10,-1.79971917669942e-10,-2.23848578710107e-10,-2.0467660805878e-10,-4.05251030665628e-10,-3.03462939437832e-10,-2.53773525190692e-10,-2.65585322442315e-10,-5.04010481035374e-10,-4.18550173728511e-10,-3.32787276882611e-10,-2.50576535735517e-10,-4.40728881511546e-05,-0.000714671262204778,-5.31019280049322e-05,-0.000104789507897355,-6.48873605003892e-05,-6.62740913487411e-05,-0.000176774449771236,-3.37352784227309e-05,-7.98177872257599e-08,-3.13673623871053e-05,-2.57729618240845e-05,-0.000137098247153572,-0.000189851479415895,-4.23894910636176e-05,2.12883157578758e-12,-1.42889846707338e-05,-1.80136564876016e-05,-0.000732172879272512
"gamma_rplc.r.sll",-3.00984703866884e-10,-4.74173261403933,0.100227159773637,0.0203852718181346,0.000551757092993319,-0.0013741127808932,0.0509484505490915,-0.00128252696414544,-0.00147968878816933,-0.000573275583525081,-0.00051563369573326,-0.00204609921048497,0.0202546660476826,0.126016424184961,-0.00564283866932593,-0.00118557401335762,-0.00648566623345004,-10.7739517179435,1.5207928881563,0.217538623612106,0.401623613605177,0.206944487076929,0.755341411028688,0.210652594239423,0.134067143363171,0.210965131266313,0.0799744781933342,0.233485617906425,0.385358491167865,1.40778097544871,0.865507152289436,0.133071078934279,1.14098808538876,-111687.860796209,15320.6349144172,2495.77791248956,4518.08226322809,2389.01584954317,7896.757677883,2253.79605672909,1317.18096736613,2356.40527466584,932.041891176336,2610.67800320231,4464.78021969875,14941.6685511909,9036.6804237849,1361.97520429594,10535.5470825737,94.4468224258132,24952.7260650818
"gamma_rdc.nd.cmpnst",-9.90203677145875e-13,0.100227159773637,-206.659490973524,0.304968913978506,0.0671441845439255,0.00378838982875692,0.822067428583582,0.0100321911705572,0.000294927688111956,0.0178798313216409,0.00335087239100335,0.00161928233771615,0.252988765186638,1.96111314757815,0.0553518699412244,0.00150980601988421,0.0389313228564635,9.17262802511705,-110.808795865876,1.93414721745324,3.75015330142032,1.88142256979564,8.89526863959482,1.66387745395249,1.15721187910155,1.66671858301531,0.665196604861518,2.04275305468267,3.7411344069325,14.8662105900582,9.99771853158349,2.31325679604049,13.8671927711303,88991.4309921536,-1044498.27264077,19318.4113704582,37763.9566612481,18470.8951064855,86824.7909655665,16174.3271260028,10637.6504065704,16713.5522974947,7070.31481582184,20466.701442457,38047.6851544476,139287.381958109,95879.7291905449,21869.6424775903,118615.34820604,1077.05537448201,295568.786043715
"gamma_shrt.flghts",-1.11755521793643e-09,0.0203852718181346,0.304968913978506,-29.9839316006878,0.0315436208556947,0.00184768989082813,0.145299428001703,0.00155959575231581,-3.61771300986411e-05,0.00243624774421308,0.000638467473612918,0.000297439287425619,0.0372207600413214,0.349153303010918,0.00795776000921355,0.000174459307487532,0.00413861673730012,1.31318728495998,2.13429247926815,-22.4394773545965,1.49719255630171,0.800179933333046,1.69147447223257,0.216859529244186,0.150946539266171,0.238175455601785,0.0963085398924801,0.36419254719617,0.543117277157897,2.7265384907497,1.87709708596959,0.378715876887724,2.51746327218547,14565.9669262699,21664.5394374071,-226394.715830342,15365.7944157285,8461.9834279873,17409.5791910774,2530.8759687725,1617.43503617256,2816.20039742535,1212.26009019969,4296.75779764198,7160.32829722492,27521.9916239536,19007.2754172098,3944.50723899683,21787.0817760706,197.83615966125,64253.0655093546
"gamma_mdm.flghts",-2.12335594632132e-10,0.000551757092993319,0.0671441845439255,0.0315436208556947,-1.52886255180422,-0.00165216040922675,0.0285065340068804,-0.00037888936717411,-0.000206423153177087,-0.000227451327147498,-0.000209412882893608,-0.000446597951804801,0.00528093578756673,0.0771680022044523,-0.00376751716579989,-0.000597539277579881,-0.00194801713117701,0.29583558568496,0.497635774052585,0.165987510223718,-5.09538943001786,0.148228416954543,0.406509213818312,0.0472501003961892,0.0309446651548861,0.0496323775243958,0.0203204362720042,0.0654795282718716,0.108497703097883,0.63784326599661,0.440439263315702,0.0598959427753635,0.65699534041341,3193.28829526072,4973.65646196045,1730.77112211641,-50368.5346905266,1501.52241654,4030.28920089623,509.106813316735,307.708265260376,553.510902241841,236.46815607322,760.182513952343,1339.98322884328,6475.95472554482,4450.42652170974,688.110779459013,5579.90954149265,46.6384462805768,16326.0818448634
"gamma_lng.flghts",-6.62357620056715e-11,-0.0013741127808932,0.00378838982875692,0.00184768989082813,-0.00165216040922675,-0.0551216383088565,0.00083740380925262,-0.000330088737052811,-0.000219614040108498,-0.000361145765452678,-0.000186290377709839,-0.000270128901817311,-0.000214429279720117,0.0048632773806861,-0.00183896473863981,-0.000102379550701998,-0.000557984908794821,0.0384036906088933,0.0682710472367489,0.0194775648856816,0.0283073857125169,-0.638558177171445,0.0481394153899157,0.00658933667782066,0.00409742622176083,0.00677292250320145,0.00282115332085328,0.00999709353389466,0.0158125852483741,0.0871561309457156,0.0522933599244593,0.00352389054959247,0.071412053012348,397.192841027276,678.174406870875,209.147046943101,317.814512179661,-6448.82591396207,493.773241446486,72.7320669715029,43.4159197904396,75.9283653621599,34.0442223848785,121.635345354115,194.306052103203,898.15495728551,526.366868365194,37.9291176251126,621.233860252903,5.40200378255788,2447.98591587271
"gamma_dt",-1.44263742120107e-09,0.0509484505490915,0.822067428583582,0.145299428001703,0.0285065340068804,0.00083740380925262,-136.260520377423,0.00252844379854376,-0.000406016743915966,0.00457951259844965,0.000962891111525836,-0.000197671599013477,0.0978130810116553,0.903511182545179,0.0228751649042257,-0.000119173127759823,0.00850977982784421,3.16855985357653,5.10545886568681,0.918020305582519,1.63118795056644,0.842327505613624,-48.5114299162041,0.552078820943507,0.383287920731477,0.577932236836007,0.245894240619073,0.649959192566619,1.31947029220007,6.10345506426806,4.42475456439985,0.862578335345895,6.47049822888784,33804.7517338906,51495.2714408483,9382.6954379449,17629.0265821115,8932.30015058744,-482020.621804976,5626.36655896858,3644.30275904033,6130.02590928839,2772.87918583924,7121.17111107212,14849.5869312845,61017.5042862131,44719.2590265802,8399.78261350287,57459.0993857937,481.178698425841,131771.423759801
"gamma_inslt.rf",-2.15512922241726e-10,-0.00128252696414544,0.0100321911705572,0.00155959575231581,-0.00037888936717411,-0.000330088737052811,0.00252844379854376,-0.946836752941739,-0.00419103555145857,-0.0027354843045542,-0.00101835308414378,-0.00136010118450437,0.00721765192585757,0.0102638258156128,-0.000507517744115424,-0.000460262637231142,-0.00187663923230634,0.117343167870922,0.149962769947109,0.0193065039837913,0.0403698320293939,0.0169641908759989,0.0998930554567089,-1.94840832486362,0.0761124719517658,0.10861188888017,0.0294174331094631,0.135869166335205,0.15339045232376,0.254246571926347,0.12393614312152,0.0103936566361745,0.154487077447977,1223.13572691182,1392.97532948656,182.936450690839,407.613532483471,186.894921712044,1006.04728446071,-18606.0226180797,662.889373010317,1022.61394915552,291.008812457866,1309.34682941638,1446.38566830327,2429.70533144716,1230.54127450079,106.653612697262,1330.0160815276,12.2741456070166,3293.77990162126
"gamma_inslt.fcd",-6.32819557194297e-11,-0.00147968878816933,0.000294927688111956,-3.61771300986411e-05,-0.000206423153177087,-0.000219614040108498,-0.000406016743915966,-0.00419103555145857,-0.219191165919459,-0.00253802483064536,-0.000833183194178837,-0.00127444768908778,-0.00040219345581716,0.000630822314645689,-0.000291289565065598,-0.000188134901955163,-0.000967029147506366,0.0278849083326959,0.0426674400398505,0.0032829850544707,0.00826658603851345,0.00401521822884995,0.0253736250641992,0.0251436506997266,-0.52583610900998,0.028680206840335,0.0072864701742119,0.0358809538196124,0.0381217715930653,0.0683129581080277,0.0315808813206658,0.00177288360707716,0.0428742247908833,240.166097805184,363.476599924757,32.9363652995948,83.7939576781819,46.077419041091,221.580256455233,203.622933734431,-4443.0158110011,238.803519799212,62.1299854139269,309.613070478821,313.992739354949,576.961853169436,272.676673230228,16.305777631194,331.235696217471,3.06779608540416,882.462976254742
"gamma_rplc.wndws",-1.61462450780206e-10,-0.000573275583525081,0.0178798313216409,0.00243624774421308,-0.000227451327147498,-0.000361145765452678,0.00457951259844965,-0.0027354843045542,-0.00253802483064536,-2.07319553830774,-0.000680575287065837,-0.0016925132294174,0.0129095799765796,0.0157046074564567,-0.000881135593263529,-0.000299307672962082,-0.00208578623514525,0.179216183128522,0.212905659818262,0.0277047073826587,0.0596384554515706,0.0264100232648945,0.146250314660143,0.148962948295121,0.109295680839698,-2.80853652437344,0.0438362435513709,0.202092173337491,0.250523425302474,0.361830814251282,0.176166719868357,0.0173862497873617,0.200999927881379,2032.2042973149,2182.86389408809,299.678848905273,643.857335842657,321.840469336636,1633.31994866023,1519.77714502101,1049.36399895826,-29717.0983857824,485.172682545332,2069.64708901857,2680.79388235674,3884.852963983,1946.10802251157,196.973573234663,1897.83992473318,17.3940136053738,4301.38872167568
"gamma_vntltn",-2.22857745130349e-10,-0.00051563369573326,0.00335087239100335,0.000638467473612918,-0.000209412882893608,-0.000186290377709839,0.000962891111525836,-0.00101835308414378,-0.000833183194178837,-0.000680575287065837,-1.57645745742846,-0.000398225686659225,0.00216429693388004,0.0039425124127377,-0.00115119324119173,-0.000105053359393365,-0.000651058057008237,0.0239767450230627,0.038054570871321,0.00645154298839286,0.0103170085750405,0.00780694023956391,0.0264876629298124,0.0148102352654423,0.0102745081177781,0.0168172605904828,-0.440622196263948,0.0145084764521368,0.0387116424985083,0.0540749780331571,0.0301183674016862,0.00254224625121751,0.0391662099482852,280.304867585675,450.525175323314,77.4003040723275,130.435675301868,99.6430819575942,306.34551479371,155.767794016042,103.978665750991,180.296459738609,-4968.2753590889,141.446641997783,442.38585917972,634.98426438263,344.078249319622,26.2090011266187,404.916510698371,2.94742868718597,681.650346225602
"gamma_ht.pmp",-3.51102005027307e-11,-0.00204609921048497,0.00161928233771615,0.000297439287425619,-0.000446597951804801,-0.000270128901817311,-0.000197671599013477,-0.00136010118450437,-0.00127444768908778,-0.0016925132294174,-0.000398225686659225,-0.0179139725583467,-0.00028759486330521,0.000908594236120619,-0.000257323383364883,-3.10664438116477e-11,-2.18177337377104e-05,0.0491618707079014,0.0678156883951448,0.00864695599073937,0.0171498411171428,0.0098613399600614,0.0429013071260363,0.0390220229150828,0.025090458466833,0.0382131192053307,0.0121737253967139,-0.807155759232146,0.0677903182262005,0.0976715059728789,0.0478219438654985,6.38760578414293e-06,0.0534323079227617,561.466130904743,732.179480005851,106.520269655299,200.230517242698,118.882576275151,481.991115398142,402.132823711661,242.195204361399,405.640245602522,138.347214299115,-8685.72847572311,737.265645532158,1049.68028300467,533.355000145938,0.0447140422698687,519.579428752533,5.06765179628239,1950.54039328982
"gamma_slr.pnls",-3.17511656392475e-10,0.0202546660476826,0.252988765186638,0.0372207600413214,0.00528093578756673,-0.000214429279720117,0.0978130810116553,0.00721765192585757,-0.00040219345581716,0.0129095799765796,0.00216429693388004,-0.00028759486330521,-17.8591744885648,0.250860805204892,0.00253571047106969,-0.000662968459352336,-0.000789969442705923,1.81215871552648,2.44313099133568,0.40702748021712,0.73532450310404,0.332314668168536,1.62978407060099,1.24540765410223,0.843896982716357,1.2839122040976,0.511819477379266,1.92867731070534,-28.2967155490895,3.9762732276392,1.94750999038891,0.264155011666921,2.26007213962148,20083.0916806872,25528.9880683406,4876.96653555519,8263.35685771849,4096.37721438118,17883.770377784,12397.0209430339,7895.09312363957,13106.2866719786,5626.67316381605,20741.0249357537,-297663.746772689,41854.4943084256,21005.4011064709,2735.13899207951,21806.9950957175,196.064144577411,44075.7884798593
"gamma_rdc.tmp",-4.33707804452358e-10,0.126016424184961,1.96111314757815,0.349153303010918,0.0771680022044523,0.0048632773806861,0.903511182545179,0.0102638258156128,0.000630822314645689,0.0157046074564567,0.0039425124127377,0.000908594236120619,0.250860805204892,-92.3736531144205,0.0590908458402824,-0.000194130960333637,0.0351379622448926,8.81221675736054,13.0268643238889,2.28514750292359,4.36200804806539,2.28379109172194,10.0721372425057,1.47544372729571,1.02050247346692,1.52552660129364,0.631701674802857,1.99470661417624,3.28550046219581,-117.340657171963,10.9076680321594,2.39441077923153,15.9270415917302,88167.6672810206,123650.418382594,23147.2575203174,43318.30043597,22546.5654700218,97401.6515174021,14724.8394597121,9521.05841588114,15722.7169463016,6967.96405254329,20801.0597986222,35569.7531679663,-1109921.35676671,104103.903976665,22362.8160321828,134696.058076542,1165.59205623485,335199.015421972
"gamma_crtfct",4.88721930164438e-12,-0.00564283866932593,0.0553518699412244,0.00795776000921355,-0.00376751716579989,-0.00183896473863981,0.0228751649042257,-0.000507517744115424,-0.000291289565065598,-0.000881135593263529,-0.00115119324119173,-0.000257323383364883,0.00253571047106969,0.0590908458402824,-0.825580970787467,-0.00187770339492968,-0.00295926281294465,0.301851780232958,0.491370180697041,0.0824815580410866,0.175730701827265,0.0952636732172281,0.400547046494426,0.0315197873548702,0.0207663602874239,0.0310952239544282,0.0160381600272588,0.0229247714787462,0.0806211991968308,0.588593367227619,-4.63434366425599,0.0345581353124923,0.7164025439637,3122.15099009742,4901.47211812523,820.743025815482,1794.80337559948,968.561445135043,4064.01889718785,323.666761636484,198.971865985875,329.191186574406,186.12671904602,241.013013410802,904.518210116128,5882.71049152594,-45256.3034141006,329.666757183676,6240.83257202455,-488.767486234045,14745.9220015737
"gamma_co2.offset",-1.22075066728615e-10,-0.00118557401335762,0.00150980601988421,0.000174459307487532,-0.000597539277579881,-0.000102379550701998,-0.000119173127759823,-0.000460262637231142,-0.000188134901955163,-0.000299307672962082,-0.000105053359393365,-3.10664438116477e-11,-0.000662968459352336,-0.000194130960333637,-0.00187770339492968,-0.204083931784583,-7.90518112864279e-11,0.0261537322505974,0.0372106034318496,0.0110293652144463,0.013441387898066,0.00672397938762361,0.029864809806273,0.00338384591511526,0.00225430059939682,0.0037194687769073,0.00146462063075887,0.00268434385687807,0.00944732868256549,0.0526824100369377,0.0384630989739884,-0.389093366444907,0.0517225102970121,270.2499562636,393.48964693401,117.351384519207,152.222451748075,70.4963274262309,307.373013244843,35.3138887430792,22.3580104750069,41.5313903129572,16.3313614531299,21.7946596594256,96.913970422559,518.348220637867,394.814714222187,-3883.50935451352,458.781909003837,3.34839043998363,1053.63057856729
"gamma_undercomp.w.offset",-9.00534205613199e-11,-0.00648566623345004,0.0389313228564635,0.00413861673730012,-0.00194801713117701,-0.000557984908794821,0.00850977982784421,-0.00187663923230634,-0.000967029147506366,-0.00208578623514525,-0.000651058057008237,-2.18177337377104e-05,-0.000789969442705923,0.0351379622448926,-0.00295926281294465,-7.90518112864279e-11,-0.680329491866796,0.354637320524654,0.501447046358252,0.0807635052404365,0.13470485370343,0.0622937573438804,0.365169081411403,0.0645965347127906,0.0458071290556142,0.060139371862995,0.0210481478961726,0.0636410339662801,0.151803874389778,0.731762090640178,0.46573514555786,0.19938094974622,-4.50583495657381,2852.5605510139,3763.4480560293,666.983791569489,1078.1225412586,534.280622903956,2777.33790563913,498.878841382886,333.197682343596,477.198311787556,180.604763901347,526.140716820805,1261.25632746261,5385.00629453467,3511.12541739335,1572.30161417876,-34178.0078264685,51.3805534410205,-93985.5381125155
"asc_rplc.r.sll",1.76748525731773e-11,-10.7739517179435,9.17262802511705,1.31318728495998,0.29583558568496,0.0384036906088933,3.16855985357653,0.117343167870922,0.0278849083326959,0.179216183128522,0.0239767450230627,0.0491618707079014,1.81215871552648,8.81221675736054,0.301851780232958,0.0261537322505974,0.354637320524654,-627.366752361123,72.5548690258363,12.1333918461805,21.3572223028849,10.7927520171568,47.2402540031465,12.2006376804173,8.35850074613075,12.2892009354323,4.60357466808587,18.6164140600628,26.7735819854273,87.5441824269235,51.5726022783147,12.7925263998932,62.7199298159338,-6151349.02880613,698372.737508819,129499.413555559,225685.490053721,116213.117528157,473017.771455372,119246.129286988,77015.0819620693,125388.873112755,50459.0245134722,202442.254753388,279141.489826873,855591.275041616,512200.58835301,125002.027993128,559042.587747231,5503.72113120393,1414253.76420213
"asc_rdc.nd.cmpnst",-4.5466579438995e-10,1.5207928881563,-110.808795865876,2.13429247926815,0.497635774052585,0.0682710472367489,5.10545886568681,0.149962769947109,0.0426674400398505,0.212905659818262,0.038054570871321,0.0678156883951448,2.44313099133568,13.0268643238889,0.491370180697041,0.0372106034318496,0.501447046358252,72.5548690258363,-925.2995207394,19.1847359363859,32.1955192836352,18.1938406685708,71.7644320966454,17.9427845558493,12.2240104710532,18.0112093023438,6.39388437426549,25.6770023084311,36.6908352397689,134.855116101283,78.4245280669369,16.9485543398517,102.418499623674,698372.737646644,-8711278.72626771,195111.904510173,323531.40801774,184005.535981265,685851.631169493,169857.073647955,108061.238602753,177029.271379182,67264.539587514,259097.212901854,373199.673747455,1264837.93142446,742509.58999929,156184.949472094,874938.214729454,8357.63383983647,2322879.69950332
"asc_shrt.flghts",-2.15196603036945e-10,0.217538623612106,1.93414721745324,-22.4394773545965,0.165987510223718,0.0194775648856816,0.918020305582519,0.0193065039837913,0.0032829850544707,0.0277047073826587,0.00645154298839286,0.00864695599073937,0.40702748021712,2.28514750292359,0.0824815580410866,0.0110293652144463,0.0807635052404365,12.1333918461805,19.1847359363859,-183.292960273483,11.5238526880144,5.99575116364977,13.0614477053792,2.45222567742939,1.62671398622196,2.59266754561389,0.966462276181274,3.83976773940274,5.89028528308259,24.3614862379945,14.1825176673198,3.27348762466129,17.5695217980477,129499.413150494,195111.902899896,-1852120.416419,118216.990697276,65240.1443350027,134977.027923071,26992.9716851718,16323.0212005995,29555.9619439295,11558.9989396943,42372.3940408573,71589.7292627001,239895.620072586,144185.722821439,33702.5461901973,156008.018495006,1417.61157291202,437320.1520485
"asc_mdm.flghts",2.71084667171898e-13,0.401623613605177,3.75015330142032,1.49719255630171,-5.09538943001786,0.0283073857125169,1.63118795056644,0.0403698320293939,0.00826658603851345,0.0596384554515706,0.0103170085750405,0.0171498411171428,0.73532450310404,4.36200804806539,0.175730701827265,0.013441387898066,0.13470485370343,21.3572223028849,32.1955192836352,11.5238526880144,-308.558810266007,8.87324503599931,23.3473546174057,4.15972760415632,2.78846659985729,4.32529065959131,1.63512732030792,6.87605988710192,9.49093808519357,41.7586927518795,24.016555437095,5.42916888499559,31.7665662398318,225685.490355127,323531.406889462,118216.990711609,-3088349.08306081,93765.2753611545,235320.735831658,44249.4639977918,27482.2214893786,47760.0714293137,19089.0498339208,77746.1493878991,108790.246091536,417133.615878374,242171.724886901,55273.1331123477,280940.446073564,2546.43501717357,794440.026019375
"asc_lng.flghts",-2.16019555585755e-10,0.206944487076929,1.88142256979564,0.800179933333046,0.148228416954543,-0.638558177171445,0.842327505613624,0.0169641908759989,0.00401521822884995,0.0264100232648945,0.00780694023956391,0.0098613399600614,0.332314668168536,2.28379109172194,0.0952636732172281,0.00672397938762361,0.0622937573438804,10.7927520171568,18.1938406685708,5.99575116364977,8.87324503599931,-167.088331343955,12.3852550969919,1.99772334227682,1.28544622306334,2.068396589179,0.892675088821932,3.75930800760061,5.48966400273967,23.8323104086862,12.2538557820282,2.67854855876023,16.1117969694457,116213.117214692,184005.535135107,65240.1444917696,93765.2745586685,-1705784.5984764,127190.255388694,21466.5808935749,12700.5412188862,23082.0499074379,10623.8803898233,45650.7110101151,64103.1971388975,242894.907176944,125134.125891875,27861.6153052168,144444.100233948,1257.63833897642,518349.139525659
"asc_dt",-1.79971917669942e-10,0.755341411028688,8.89526863959482,1.69147447223257,0.406509213818312,0.0481394153899157,-48.5114299162041,0.0998930554567089,0.0253736250641992,0.146250314660143,0.0264876629298124,0.0429013071260363,1.62978407060099,10.0721372425057,0.400547046494426,0.029864809806273,0.365169081411403,47.2402540031465,71.7644320966454,13.0614477053792,23.3473546174057,12.3852550969919,-677.503121273116,11.5803092479217,7.82392883714948,11.7651818709077,4.24050698666067,16.3636957430592,24.8401679786686,94.7902081711084,57.6008696153574,12.8578419928134,76.1884505922705,473017.771537453,685851.629758412,134977.027678772,235320.73596773,127190.255524147,-6482989.59426119,114176.972179788,72414.0461573258,120251.832136477,46220.7875916877,171598.861190219,259491.290416962,901984.463357231,557049.700974711,120775.470007493,655538.737270657,6102.51574738208,1688034.22036895
"asc_inslt.rf",-2.23848578710107e-10,0.210652594239423,1.66387745395249,0.216859529244186,0.0472501003961892,0.00658933667782066,0.552078820943507,-1.94840832486362,0.0251436506997266,0.148962948295121,0.0148102352654423,0.0390220229150828,1.24540765410223,1.47544372729571,0.0315197873548702,0.00338384591511526,0.0645965347127906,12.2006376804173,17.9427845558493,2.45222567742939,4.15972760415632,1.99772334227682,11.5803092479217,-224.679051331152,10.6973576330719,15.4923653222544,3.62529373016424,14.7512269805491,23.1261676131149,28.9293615252304,13.6745413335946,2.22862404270913,16.1685237078392,119246.128899331,169857.07126301,26992.9717344816,44249.4634102807,21466.5813508095,114176.972848082,-2132208.94294547,92768.3138899862,148697.322495527,35922.5858241447,139282.331322969,217112.112958,274276.950478667,133320.120699159,20942.1303730542,141058.702492391,1397.77143838373,327066.543421037
