"detail.rd.reduceCar";"detail.rd.compCar"
-0.066;0.21216
-0.147;0.07704
0;0
0;0
-3.933;1.104
-0.066;0
0;0
0;0
0;0
0;0.4484
-0.1225;0.04
-0.441;0.15156
0;0
-0.882;0.288
-0.3675;0.2652
0;0
0;0
-1.7625;0
-0.225;0.36
0;0
0;0
-0.705;0.16
0;0
0;0
-0.3675;0.17808
0;0
-0.98;0.3368
-0.098;0
0;0
0;0
0;0
-1.764;0.46224
0;0
0;0
0;0
0;0
-0.126;0.056
0;0
0;0
0;0
-0.432;0.192
0;0
-0.02;0
0;0
-1.175;0
-0.0735;0
0;0
-0.045;0
0;0
0;0
0;0
-0.147;0.024
0;0
0;0
0;0
0;0
-0.396;0.176
-1.0575;0.3726
-0.423;0.12
0;0
0;0
-0.03;0.048
0;0
0;0
0;0
-0.855;0.1326
0;0
-0.658;0
-0.09;0.04
-0.094;0.032
0;0
0;0
0;0
-0.564;0.192
-0.06;0.096
0;0
0;0
0;0
-0.12;0.20208
0;0
0;0
-0.441;0
0;0
0;0
-0.9;0.2652
-0.81;0.2526
0;0
-0.637;0
0;0
0;0
0;0
0;0
-0.1645;0.05684
0;0
-0.5145;0.168
-0.1;0.3536
-1.88;0
0;0
0;0
0;0
-0.5145;0.17304
0;0
0;0
-1.504;0
0;0
0;0
-0.135;0.01768
0;0
0;0
0;0
-0.0705;0.03452
0;0
0;0
-0.02;0.07072
0;0
0;0
-0.705;0.2568
0;0
0;0
0;0
-0.176;0.28288
0;0
0;0
0;0
0;0
-0.15;0.2484
0;0
-0.705;0.24
0;0
0;0
0;0
0;0
0;0
-0.18;0
-3.42;0
0;0
0;0
0;0
-0.49;0.22648
-1.539;0.44712
0;0
-0.275;0
-0.2;0.32
0;0
0;0
0;0
-0.196;0
0;0
0;0
-0.432;0.13472
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.1225;0
-0.81;0.2442
-0.094;0
0;0
0;0
0;0
-0.09;0
0;0
0;0
-0.12;0.192
0;0
0;0
0;0
0;0
-0.27;0.1768
-0.3135;0.19448
0;0
0;0
0;0
-0.055;0.08
0;0
0;0
0;0
0;0
0;0
-0.47;0.16
-0.099;0.07956
0;0
0;0
-0.567;0.11788
-0.987;0
0;0.964
0;0
-0.2585;0.19448
0;0
0;0
-0.342;0.10104
-0.3525;0.12
-0.2115;0
0;0
0;0
-0.216;0
0;0
-0.735;0.24
-0.294;0.03536
-0.3705;0
0;0
0;0
0;0
-0.4935;0
-0.684;0
-0.162;0.072
0;0
0;0
0;0
0;0
-2.115;0.6126
-0.1225;0.04
0;0
0;0.10608
0;0
-2.025;0.6
-0.6125;0
-0.627;0.18524
-0.05;0.08
-0.15;0.5304
-0.196;0.14144
0;0
-0.705;0
-0.27;0.22356
0;0
0;0
0;0
0;0
-0.5875;0
0;0
-0.282;0.10104
0;0
-0.57;0.1684
-1.078;0.37048
0;0
0;0
-0.0735;0
-1.176;0.53888
-0.285;0
-1.078;0.352
-0.27;0
-0.08;0.128
-0.22;0
0;0
-1.225;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-4.116;0.336
0;0
-0.2695;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.18;0
0;0
0;0
0;0
0;0
-1.134;0.224
-0.165;0.2652
0;0
0;0
0;0
0;0
0;0
-0.456;0.13472
0;0
0;0
0;0
0;0
0;0
-0.0705;0
0;0
0;0
0;0.56
0;0
-0.26;0
0;0
-2.7;0
0;0
0;0
-1.316;0.35952
-0.392;0
0;0
0;0
0;0
-1.323;0
0;0
0;0
0;0
-0.09;0.15912
0;0
-0.09;0.15912
0;0
0;0
-0.115;0.20332
0;0
0;0
0;0
-0.282;0.096
0;0
0;0
-0.1175;0.016
-2.1375;0.442
0;0
-1.08;0.49008
-0.08;0.128
0;0
-0.5145;0.168
0;0
0;0
0;0
0;0
0;0
-0.729;0
-0.49;0.16
0;0
-1.5275;0.52
-0.188;0
-0.54;0
0;0
-0.25;0.4084
0;0
-1.44;0.64
0;0
0;0
0;0
0;0
0;0
-1.2495;0.408
0;0
0;0
0;0
-0.189;0.056
0;0
-1.029;0.24752
-1.1985;0.73712
0;0
0;0
0;0
0;0
0;0
-0.47;0
0;0
-0.375;0
0;0
0;0
0;0
0;0
-1.47;0.16
0;0
-0.49;0.3536
-1.617;0
0;0
0;0
-0.15;0.24
0;0
0;0
0;0
-0.141;0.05304
-0.846;0.288
0;0
-0.8225;0.34776
-0.47;0
0;0
-1.08;0.7072
0;0
-1.8375;0.7578
-0.54;0.1768
-0.27;0
0;0
-0.188;0.14144
-0.15;0
-1.26;0.47152
0;0
0;0
0;0
-0.11;0.176
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.055;0.1768
0;0
-0.198;0
0;0
0;0
-0.57;0
0;0
0;0
-0.225;0.5052
-0.49;0.1642
-0.47;0.16
-0.705;0.5304
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.972;0.288
0;0
0;0
0;0
0;0
-0.216;0
-0.6555;0.184
-0.088;0.128
-0.81;0
-0.245;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.245;0
0;0
-0.225;0.36
0;0
0;0
-0.5875;0.2968
-1.47;0.49008
0;0
-0.098;0
-0.2585;0.19448
-0.495;0
-1.89;0
0;0
0;0
0;0
0;0
-0.0735;0.024
-1.08;0.48
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.105;0
0;0
0;0
0;0
-1.225;0
0;0
-0.588;0.27616
-0.141;0
-0.141;0.05304
-0.162;0.048
0;0
0;0
0;0
0;0
0;0
0;0
-0.1645;0
-0.06;0
0;0
0;0
-0.705;0.2484
0;0
0;0
0;0
0;0
-1.225;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.705;0.08
-0.47;0.16
-3.645;0.12
-0.5775;0
-0.3;0
-0.5145;0.37128
-1.53;0.15028
-0.094;0
0;0
0;0
0;0
0;0
0;0
-0.165;0
0;0
-0.2;0.32
0;0
-0.54;0
0;0
-0.27;0.08
-0.045;0
-0.294;0
0;0
0;0
-4.32;0
0;0
0;0
0;0
0;0
0;0
-0.06;0.09936
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.855;0
0;0
-0.1225;0.04
0;0
0;0
0;0
-0.3525;0
-0.972;0.288
-0.4275;0.2652
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-1.026;0
0;0
0;0
-0.235;0
0;0
-2.394;0.608
-0.32;0.512
0;0
0;0
0;0
0;0
0;0
-0.05;0.1768
0;0
0;0
0;0
-0.288;0
-1.215;0.36
0;0
0;0
0;0
-1.127;0
0;0
0;0
-0.47;0.1768
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.196;0
0;0
-0.94;0
0;0
-0.567;0
-0.282;0.15408
0;0
-0.468;0.22984
-0.225;0.36
0;0
0;0
0;0
0;0
-0.735;0.16
0;0
0;0
-0.18;0.096
0;0
-0.343;0.24752
-0.225;0.36
-2.9925;0.87528
0;0
0;0
0;0
0;0
0;0
-0.015;0
-1.127;0.40664
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0.096
-0.195;0.56368
0;0
0;0
0;0
-0.27;0.1284
0;0
0;0
-0.216;0
-0.0235;0.008
0;0
-1.197;0.336
-0.882;0
-0.18;0.08
0;0
0;0
-1.692;0.30312
0;0
0;0
-0.47;0.2568
0;0
0;0
-0.2205;0
-0.705;0
-0.176;0.256
0;0
0;0
-7.35;0.2652
0;0
0;0
-1.974;0.70728
0;0
0;0
0;0
0;0
-0.648;0
-0.5985;0
0;0
0;0
0;0
0;0
0;0
-0.02;0.032
-0.1;0.1768
0;0
0;0
-0.36;0.16
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.245;0.0884
-0.245;0.08
0;0
0;0
-0.135;0
-0.025;0
0;0
0;0
0;0.30352
0;0
-1.1025;0
0;0
-0.294;0.096
0;0
0;0
-1.225;0.3368
-2.187;0.63648
-1.225;0.4968
0;0
0;0
-0.15;0.42432
0;0
-0.018;0
0;0
0;0
0;0
-1.96;0
-0.196;0.07072
-0.285;0.06568
0;0
0;0
0;0
0;0
0;0
-0.1225;0.04
-0.8225;0.18564
-0.3675;0
0;0
0;0
0;0
-0.735;0
-1.1025;0.36
0;0
-0.376;0.13472
0;0
0;0
0;0
-0.405;0
-2.28;0.6568
0;0
0;0
-1.197;0.336
-0.3675;0.12
-0.165;0
-0.075;0.12
-0.055;0
0;0
-0.0735;0.01768
0;0
0;0
-3.528;0
0;0
-0.125;0
0;0
0;0
0;0
-0.432;0.192
-0.285;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.3675;0.12
0;0
0;0
0;0
0;0
0;0
-0.135;0.47736
0;0
0;0
0;0
0;0
0;0
-1.2825;0
0;0.08
-0.294;0.15408
-0.8;0
0;0
-0.135;0.0884
0;0
0;0
0;0
0;0
0;0
0;0
-1.14;0.08
-0.27;0.08
-1.35;0
0;0
0;0
0;0
-1.176;0.31824
-0.18;0.31824
0;0
0;0
0;0
-1.715;0.5684
0;0
-0.049;0
0;0
0;0
0;0
-0.2695;0
-0.1;0.16
-0.2;0
-0.49;0
-0.33;0
0;0
0;0
-0.0705;0.05304
0;0
-0.188;0
0;0
0;0
0;0
0;0
-0.47;0
0;0
0;0
-0.735;0.24
0;0
0;0
0;0
0;0
0;0
-0.8085;0
-0.9;0.663
0;0
0;0
-1.176;0
-0.6125;0
0;0
-0.294;0
0;0
0;0
0;0
-0.243;0
-1.225;0.4968
0;0
0;0
0;0
-0.108;0.024
0;0
0;0
0;0
0;0
-0.798;0.22988
-0.27;0
0;0
-0.81;0.24
-0.57;0
-0.49;0.16
-0.363;0.38896
-0.245;0
-0.05;0.08
-0.1;0
-0.235;0.15744
-0.735;0
-0.16;0.26944
-0.294;0
0;0
-0.0855;0.024
-0.49;0.29552
0;0
0;0
0;0
-0.108;0.048
0;0
-1.175;0.4084
0;0
-0.044;0.14144
0;0
0;0
0;0
0;0
0;0
0;0
-0.525;1.0104
0;0
0;0
0;0
0;0
-0.735;0
0;0
0;0
-0.1175;0.04084
-0.015;0.008
-0.1645;0
0;0
0;0
0;0
0;0.25008
-0.094;0.032
0;0
0;0
0;0
0;0
-0.198;0.088
-0.05;0
-0.3675;0.12252
-0.81;0.5304
-0.294;0.10608
-0.392;0
-0.04;0.064
0;0
-0.18;0.08
0;0
0;0
0;0
0;0
0;0
0;0
-0.125;0.221
0;0
0;0
0;0
-0.21;0.40416
-0.15;0.2484
0;0
-0.1225;0.04
-0.25;0.7072
0;0
0;0
0;0
-0.378;0
-0.26;0.42692
0;0
0;0
-0.378;0
0;0
-0.8085;0
-0.735;0.3978
-0.08;0.13472
0;0
0;0
-0.329;0.06188
-0.125;0
0;0
0;0
0;0
0;0
-0.33;0.528
0;0
0;0
-0.893;0
0;0
-0.165;0.25512
-0.0935;0.15028
-0.47;0
0;0
-1.8375;0
0;0
0;0
-0.147;0.04968
-0.188;0
0;0
0;0
-0.7;0
-0.2695;0
0;0
0;0
0;0
0;0
0;0
-1.215;0.1326
0;0
0;0
0;0
-0.196;0.064
0;0
0;0
-0.135;0.216
-0.882;0
-0.81;0.5052
-0.36;0.08
0;0
0;0
0;0
0;0
-0.1175;0.04252
0;0
0;0
-1.175;0
-0.2;0.5136
0;0
0;0
0;0
0;0
0;0
-1.617;0
-0.49;0
0;0
0;0
0;0
0;0
-0.735;0
0;0
0;0
0;0.8
0;0
-2.16;0
0;0
0;0
0;0
0;0
-0.16;0.56576
-0.77;0.176
-0.12;0.14144
-0.245;0
0;0
0;0
0;0.10904
0;0
-0.486;0
0;0
-0.29;0.464
-0.3;0.6904
0;0
0;0
-0.08;0
0;0
0;0
-0.03;0.10608
-0.425;0.72284
0;0
0;0
0;0
0;0
0;0.8
-1.274;0
-0.98;0
-0.324;0.23112
0;0
-1.0575;0
0;0
0;0
-0.324;0.096
-0.343;0
-0.564;0.19872
0;0
0;0
-0.6875;0
0;0
-0.235;0
-0.882;0.15912
-0.047;0.016
0;0
0;0
0;0
-0.0705;0.02652
0;0
0;0
-0.0735;0
-0.784;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.245;0.0884
-1.8;0
0;0
-0.15;0.2484
0;0
0;0
-1.17;0.54184
0;0
0;0
0;0
-0.143;0.208
0;0
-0.235;0.08
0;0
-0.294;0
-0.329;0.06188
0;0
-0.1225;0
-0.392;0
-0.036;0.016
0;0
0;0
0;0
0;0
0;0
-0.25;0
-1.176;0
-0.1;0
0;0
0;0
-0.567;0.168
0;0
-0.245;0
0;0
0;0
0;0
0;0
0;0
-0.627;0
0;0
-3.675;0.2652
0;0
0;0
-0.846;0
-0.147;0.10608
0;0
0;0
0;0
0;0
-2.35;0.8
-0.049;0.016
-1.1025;0.3852
0;0
0;0
0;0
0;0
0;0
0;0
-0.705;0.3368
0;0
-0.098;0.032
0;0
0;0
-0.121;0
-0.1;0
-0.1225;0
0;0
0;0
0;0
-0.15;0.5304
-0.282;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.735;0
-0.855;0
0;0
-0.6125;0
-0.072;0.032
-0.47;0.0884
-3.92;0.1768
-0.175;0
-0.432;0
-0.49;0
0;0
-0.3;0.48
0;0
0;0
0;0
0;0
0;0
0;0
-0.329;0
-0.235;0.08
-0.376;0.07072
0;0
0;0
0;0
0;0
0;0
-0.343;0.056
0;0
-1.692;0.75024
0;0
-0.216;0
-1.1025;0.1326
0;0
0;0
-0.147;0
0;0
-1.1025;0
0;0
-0.33;0.54648
-0.648;0
0;0
0;0
0;0
-5.187;0.43784
-0.324;0.072
0;0
0;0
-0.8225;0.22988
-0.12;0.20208
0;0
0;0
-0.1225;0.03536
0;0
0;0
0;0
0;0
-2.7;0
-0.392;0
0;0
0;0
-0.2;0
0;0
0;0
0;0
-0.125;0.3094
0;0
-0.684;0.30816
-2.352;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.047;0.01684
-0.5145;0.17388
0;0
-0.987;0
-0.648;0.288
-0.376;0
0;0
-1.176;0
0;0
0;0
0;0
0;0
0;0
-0.1225;0
-1.944;0
0;0
-0.147;0
0;0
0;0
-0.14;0.23576
0;0
0;0
-0.075;0.2652
-0.752;0
-0.235;0.11872
0;0
-0.2205;0.072
0;0
0;0
0;0
-2.205;1.0104
0;0
-0.285;0.1768
0;0
0;0
0;0
0;0
0;0
-0.684;0
0;0
0;0
0;0
-0.637;0.208
0;0
0;0
-0.5;0.16
0;0
-1.2925;0.36124
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-1.47;0.2568
-0.162;0.048
0;0
0;0
0;0
-0.735;0.24
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.108;0.032
0;0
-0.987;0
-0.57;0
-0.1225;0
0;0
-0.15;0.2526
0;0
-0.196;0.10272
0;0
0;0
0;0
-1.71;0
0;0
-0.47;0.2568
0;0
0;0
0;0
0;0
0;0
0;0
-0.0245;0.008
0;0
0;0
-0.405;0.12
-0.135;0
0;0
0;0
0;0
0;0
-0.07;0.24752
0;0
-0.564;0.36624
-0.05;0
-0.15;0.12
0;0
-0.11;0.3536
-0.072;0
0;0
-1.215;0.12
0;0
0;0
0;0
-0.7755;0
0;0
0;0.73088
0;0
0;0
0;0
0;0
0;0.448
0;0
-1.8375;0.6
0;0
-0.18;0
-0.12;0.192
-0.09;0.10608
0;0
0;0
-0.049;0.016
-0.047;0.01768
0;0
0;0
-1.96;0
0;0
-0.15;0.1768
0;0
0;0.98336
0;0
0;0
0;0
0;1.1492
0;0
0;0
-0.55;0.8
-0.285;0
-0.2;0.5136
0;0
-5.145;1.68
0;0
0;0
-0.72;0.6104
-2.4675;1.566
-1.47;0.48
0;0
0;0
0;0
-2.538;1.7352
-0.14;0.224
0;0
0;0
0;0
0;0
0;0
0;0
-1.225;0
-0.72;0.32
-1.175;0.3536
0;0
0;0
-0.044;0.064
-0.285;0.0884
-0.15;0
0;0
0;0
-0.735;0.24504
0;0
0;0
0;0
0;0
0;0
0;0
-0.342;0
-0.27;0.0842
-1.71;0.3726
0;0
-0.047;0
0;0
0;0
0;0
0;0
0;0
-0.735;0.5304
0;0
0;0
0;0
-0.282;0
0;0
-0.015;0.024
0;0
-0.94;0
-0.54;0.2652
0;0
0;0
0;0
-2.16;0.9852
0;0
0;0
0;0
-0.735;0
0;0
0;0
0;0
-0.285;0
-1.215;0.36
0;0
-0.705;0
-0.5985;0.056
0;0
0;0
-0.1225;0
-0.049;0.016
0;0
0;0
-3.29;0.8
0;0
0;0
-0.486;0
0;0
0;0
0;0
0;0.24
-0.045;0.15912
-0.09;0.15912
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.378;0
0;0
0;0
0;0
0;0
0;0
-0.15;0.24
-2.5725;0.12
-0.5145;0.2652
-0.288;0
0;0
0;0
-0.0245;0.01768
0;0
-0.285;0
0;0
-0.294;0.096
-0.6615;0
0;0
-0.08;0.28288
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.15;0.2652
0;0
-3.99;0
0;0
0;0.34016
0;0
0;0
0;0
-0.235;0
0;0
0;0
0;0
-1.0575;0
-0.3;0
0;0
0;0
0;0
-0.798;0
0;0
-0.243;0.072
0;0
0;0
0;0
-0.3;0.48
-1.026;0.40416
-0.47;0.08
0;2.8416
-0.282;0.096
0;0
0;0
-0.098;0.032
0;0
0;0
-0.72;0.32
0;0
0;0
0;0
-0.196;0.064
0;0
-0.47;0.16
-0.0245;0.008
0;0
-0.8;1.3808
0;0
-0.216;0.096
0;0
-0.363;0.38896
-0.324;0
0;0
-1.128;0
0;0
0;0
0;0
-0.94;0.55232
-0.702;0.32292
-0.399;0
-3.4545;0.672
0;0
-0.3675;0.12
-0.098;0
0;0
0;0
0;0
0;0
0;0.10608
0;0
-0.3;0
0;0
0;0
0;0
0;0
-2.205;0.7704
-0.1225;0.04
0;0
0;0
0;0
0;0
-0.294;0
0;0
0;0
0;0
0;0
-0.294;0
0;0
0;0
-0.735;0.24
0;0
-0.882;0
-0.235;0.08
0;0
0;0
0;0
-0.94;0
0;0
-4.935;1.2504
0;0
0;0
0;0
-1.2825;0.12
0;0
-0.81;0
0;0
0;0
-1.62;0
0;0
0;0.1684
-0.06;0.21216
0;0
0;0
0;0
0;0
-0.833;0.28628
-0.08;0.28288
0;0
-0.047;0
-0.18;0.24504
0;0
-0.04;0.14144
0;0
-0.15;0.2526
-0.49;0
-0.588;0
0;0
0;0
-0.3675;0
0;0
-0.18;0.29808
0;0
0;0
0;0
0;0
0;0
-0.2115;0.072
0;0
0;0
-0.45;0
0;0
0;0
-0.517;0
0;0
-1.269;0
0;0
-0.216;0.096
0;0
-1.96;0.64
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.1;0
-1.1025;0.7956
-0.05;0.08
-1.47;0.5052
0;0
0;0
0;0
0;0
-2.835;0
-4.56;0.884
-0.15;0.24
0;0
-0.735;0.08
0;0
0;0
-0.2115;0.07956
0;0
0;0
0;0
-0.513;0.15912
-0.705;0
0;0
-1.47;0
0;0
0;0
0;0
-0.57;0
-0.275;0
0;0
0;0
-0.1715;0
0;0
-0.252;0
0;0
-0.98;0
0;0
0;0
0;0
-2.058;0
0;0
0;0
0;0
-0.126;0.12376
-0.141;0.10608
-0.441;0
0;0
0;0
-0.0245;0.00884
-0.0735;0.024
0;0
0;0
-1.08;0.5304
0;0
0;0.1002
-0.047;0
-0.0705;0.02484
0;0
0;0
-0.2205;0.07956
-0.392;0.12968
0;0
0;0
0;0
-0.705;0
0;0
0;0
0;0
-1.1025;0.2652
0;0
-0.294;0.096
0;0
0;0
-0.1175;0
-0.285;0
0;0
-0.121;0.176
0;0
0;0
0;0
0;0
-3.0625;0
0;0
-0.684;0.20208
-0.98;0.16
0;0
-1.08;0
-0.3;0.6252
-0.3675;0.12
0;0
-1.62;0
0;0
0;0
-0.735;0.08
-0.2695;0.088
0;0
0;0
-0.539;0
-0.098;0.03368
